id,album,name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,eras
1,Taylor Swift,Tim McGraw,0.58,0.491,0,-6.462,0.0251,0.575,0,0.121,0.425,76.009,232107,4,61,0
2,Taylor Swift,Picture To Burn,0.658,0.877,7,-2.098,0.0323,0.173,0,0.0962,0.821,105.586,173067,4,67,0
3,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,0.0231,0.288,0,0.119,0.289,99.953,203040,4,69,0
4,Taylor Swift,A Place in this World,0.576,0.777,9,-2.881,0.0324,0.051,0,0.32,0.428,115.028,199200,4,61,0
5,Taylor Swift,Cold As You,0.418,0.482,5,-5.769,0.0266,0.217,0,0.123,0.261,175.558,239013,4,61,0
6,Taylor Swift,The Outside,0.589,0.805,5,-4.055,0.0293,0.00491,0,0.24,0.591,112.982,207107,4,60,0
7,Taylor Swift,Tied Together with a Smile,0.479,0.578,2,-4.963,0.0294,0.525,0,0.0841,0.192,146.165,248107,4,59,0
8,Taylor Swift,Stay Beautiful,0.594,0.629,8,-4.919,0.0246,0.0868,0,0.137,0.504,131.597,236053,4,59,0
9,Taylor Swift,Should've Said No,0.476,0.777,4,-3.771,0.0289,0.0103,0,0.196,0.472,167.964,242200,4,66,0
10,Taylor Swift,Mary's Song (Oh My My My),0.403,0.627,2,-5.28,0.0292,0.0177,0,0.182,0.374,74.9,213080,4,61,0
11,Taylor Swift,Our Song,0.668,0.672,2,-4.931,0.0303,0.111,0,0.329,0.539,89.011,201107,4,70,0
12,Taylor Swift,I'm Only Me When I'm With You,0.563,0.934,8,-3.629,0.0646,0.00452,8.07e-4,0.103,0.518,143.964,213053,4,61,0
13,Taylor Swift,Invisible,0.612,0.394,7,-5.723,0.0243,0.637,0,0.147,0.233,96.001,203227,4,59,0
14,Taylor Swift,A Perfectly Good Heart,0.483,0.751,4,-5.726,0.0365,0.00349,0,0.128,0.268,156.092,220147,4,58,0
15,Fearless,Fearless,0.594,0.712,5,-4.418,0.0273,0.04,0,0.309,0.476,99.972,241987,4,83,1
16,Fearless,Fifteen,0.556,0.651,7,-4.396,0.0266,0.067,0,0.145,0.203,95.485,294333,4,73,0
